nome,email,whatsapp,instagram,periodo,sessao
Daniel Machado Lima,daniel.machado527@email.com,(11) 98947-5379,danielmac902,12,D1-manha
Kevin Mendes Borges,kevin.mendes310@email.com,(71) 92983-4290,kevinmen612,5,D1-tarde
Olívia Rodrigues Nascimento,olívia.rodrigues603@email.com,(71) 94187-8380,olíviarod944,1,D2-tarde
Mariana Cardoso Nascimento,mariana.cardoso180@email.com,(21) 93745-4127,marianacar648,5,D1-manha
Marina Vieira Teixeira,marina.vieira723@email.com,(61) 96320-6550,marinavie38,4,D1-tarde
Letícia Moreira Almeida,letícia.moreira779@email.com,(51) 91846-4429,letíciamor324,11,D1-tarde
Flávia Teixeira Nunes,flávia.teixeira969@email.com,(61) 96737-3724,fláviatei731,12,D1-manha
Karla Vieira Rocha,karla.vieira847@email.com,(11) 92246-7914,karlavie940,6,D2-tarde
Rafaela Monteiro Castro,rafaela.monteiro114@email.com,(61) 92341-4662,rafaelamon791,10,D1-manha
Oscar Souza Cardoso,oscar.souza858@email.com,(81) 93956-8102,oscarsou626,2,D1-manha
Rômulo Duarte Azevedo,rômulo.duarte168@email.com,(41) 97501-2854,rômulodua826,3,D2-tarde
Arthur Santos Martins,arthur.santos39@email.com,(71) 93635-7512,arthursan316,4,D1-tarde
Henrique Borges Cardoso,henrique.borges563@email.com,(51) 98337-8649,henriquebor849,8,D1-tarde
Jéssica Melo Borges,jéssica.melo717@email.com,(51) 98621-7448,jéssicamel190,3,D1-manha
Sabrina Moreira Correia,sabrina.moreira210@email.com,(31) 94845-1838,sabrinamor215,11,D1-manha
Nathalia Costa Rodrigues,nathalia.costa451@email.com,(41) 96143-4153,nathaliacos64,11,D1-tarde
André Monteiro Souza,andré.monteiro81@email.com,(21) 94342-1631,andrémon395,11,D1-manha
Isabela Nunes Campos,isabela.nunes334@email.com,(31) 97311-3783,isabelanun393,6,D1-tarde
Flávia Lopes Ribeiro,flávia.lopes201@email.com,(31) 95884-7269,flávialop527,6,D1-manha
Kelly Rodrigues Correia,kelly.rodrigues512@email.com,(21) 93765-8081,kellyrod332,6,D1-tarde
Yuri Almeida Mendes,yuri.almeida102@email.com,(21) 95871-8246,yurialm127,3,D2-tarde
Diego Nunes Ramos,diego.nunes296@email.com,(61) 95147-6316,diegonun382,10,D1-manha
José Silva Lima,josé.silva190@email.com,(41) 96095-1947,josésil957,2,D1-tarde
Beatriz Ferreira Ramos,beatriz.ferreira251@email.com,(11) 94081-3146,beatrizfer855,8,D2-tarde
Larissa Freitas Lima,larissa.freitas831@email.com,(81) 91612-5113,larissafre502,11,D2-tarde
Kelly Oliveira Mendes,kelly.oliveira575@email.com,(71) 96588-5098,kellyoli649,3,D2-tarde
Lucas Correia Melo,lucas.correia405@email.com,(21) 97118-7364,lucascor96,8,D2-tarde
Nicolas Borges Pinto,nicolas.borges316@email.com,(51) 97665-6879,nicolasbor962,5,D2-tarde
Igor Azevedo Moreira,igor.azevedo428@email.com,(21) 95815-4123,igoraze644,11,D1-tarde
Wagner Nascimento Costa,wagner.nascimento426@email.com,(41) 93236-4340,wagnernas408,6,D1-tarde
Érica Monteiro Fonseca,érica.monteiro946@email.com,(11) 93535-5909,éricamon228,5,D1-manha
Rafaela Silva Rodrigues,rafaela.silva82@email.com,(31) 95091-5115,rafaelasil155,1,D2-tarde
Gustavo Costa Correia,gustavo.costa747@email.com,(11) 93477-4025,gustavocos158,11,D1-manha
Enzo Ramos Souza,enzo.ramos663@email.com,(51) 92290-2491,enzoram546,3,D1-tarde
Kelly Martins Machado,kelly.martins309@email.com,(61) 94058-3212,kellymar771,6,D1-tarde
Otávio Monteiro Souza,otávio.monteiro616@email.com,(51) 93007-9780,otáviomon389,9,D1-tarde
André Pereira Pereira,andré.pereira174@email.com,(11) 95639-4154,andréper580,8,D1-tarde
Rafael Melo Ramos,rafael.melo253@email.com,(11) 94816-5271,rafaelmel555,8,D1-manha
Patrícia Araújo Lopes,patrícia.araújo625@email.com,(81) 92970-5775,patríciaara523,4,D1-manha
Mariana Ramos Castro,mariana.ramos20@email.com,(51) 95885-1235,marianaram431,9,D1-manha
Nathalia Duarte Ramos,nathalia.duarte699@email.com,(21) 99041-2774,nathaliadua156,8,D2-tarde
Tatiana Campos Borges,tatiana.campos100@email.com,(61) 94414-3029,tatianacam999,2,D1-tarde
Thiago Almeida Carvalho,thiago.almeida769@email.com,(61) 97980-2067,thiagoalm885,6,D1-manha
Leonardo Ferreira Gomes,leonardo.ferreira721@email.com,(21) 99355-9691,leonardofer530,6,D1-manha
Érica Almeida Cunha,érica.almeida606@email.com,(51) 99346-9804,éricaalm118,11,D1-tarde
Natália Lopes Nascimento,natália.lopes534@email.com,(31) 91641-7885,natálialop608,10,D1-manha
Ana Barbosa Lima,ana.barbosa662@email.com,(71) 95113-6876,anabar51,4,D1-tarde
Tatiana Santos Barbosa,tatiana.santos84@email.com,(61) 95466-9130,tatianasan647,11,D1-manha
Karla Freitas Vieira,karla.freitas499@email.com,(21) 98593-8253,karlafre824,11,D1-tarde
Helena Pires Barbosa,helena.pires199@email.com,(21) 92446-5942,helenapir679,10,D1-tarde
Wagner Ramos Carvalho,wagner.ramos940@email.com,(71) 91088-1332,wagnerram620,6,D1-manha
Pedro Rocha Pires,pedro.rocha801@email.com,(61) 91538-7717,pedroroc735,10,D1-tarde
Giovana Borges Pinto,giovana.borges465@email.com,(41) 94383-6490,giovanabor856,6,D1-tarde
Leonardo Melo Cardoso,leonardo.melo728@email.com,(31) 92070-1460,leonardomel219,10,D1-manha
Fernanda Nascimento Melo,fernanda.nascimento433@email.com,(21) 98800-2736,fernandanas815,8,D1-tarde
Sofia Costa Costa,sofia.costa510@email.com,(71) 94639-3458,sofiacos37,2,D1-manha
Otávio Moreira Araújo,otávio.moreira352@email.com,(41) 95180-4268,otáviomor818,1,D1-manha
Marina Rocha Cardoso,marina.rocha61@email.com,(81) 99293-2084,marinaroc149,11,D1-manha
Talita Pereira Melo,talita.pereira543@email.com,(61) 96548-7363,talitaper19,10,D1-tarde
Wagner Melo Fonseca,wagner.melo650@email.com,(41) 94094-4531,wagnermel350,3,D2-tarde
Marina Fonseca Lopes,marina.fonseca816@email.com,(51) 96860-5077,marinafon946,8,D2-tarde
Vitória Rocha Araújo,vitória.rocha724@email.com,(41) 99792-7011,vitóriaroc230,2,D2-tarde
Débora Lima Teixeira,débora.lima645@email.com,(61) 94332-8247,déboralim336,10,D1-tarde
Beatriz Pereira Machado,beatriz.pereira375@email.com,(11) 98845-6886,beatrizper26,7,D1-tarde
Hugo Monteiro Ferreira,hugo.monteiro580@email.com,(41) 93938-3645,hugomon443,5,D1-tarde
Nathan Barbosa Rodrigues,nathan.barbosa838@email.com,(31) 91415-9480,nathanbar881,11,D2-tarde
Priscila Ferreira Barbosa,priscila.ferreira514@email.com,(81) 96065-1005,priscilafer197,2,D2-tarde
Thiago Cardoso Pires,thiago.cardoso155@email.com,(71) 98347-4909,thiagocar783,3,D2-tarde
Sérgio Azevedo Rodrigues,sérgio.azevedo397@email.com,(21) 99875-7835,sérgioaze425,11,D1-manha
Yuri Costa Pereira,yuri.costa903@email.com,(71) 98251-5079,yuricos438,4,D2-tarde
Natália Freitas Santos,natália.freitas103@email.com,(21) 93912-1032,natáliafre987,2,D1-tarde
Clara Barbosa Rocha,clara.barbosa433@email.com,(41) 98812-3813,clarabar385,11,D2-tarde
Juliana Araújo Machado,juliana.araújo373@email.com,(51) 93060-4775,julianaara231,5,D2-tarde
José Ferreira Pereira,josé.ferreira441@email.com,(51) 99967-3367,joséfer783,2,D2-tarde
Priscila Campos Ferreira,priscila.campos771@email.com,(21) 97852-7133,priscilacam396,11,D2-tarde
Sofia Ribeiro Borges,sofia.ribeiro727@email.com,(51) 96545-9313,sofiarib830,8,D1-tarde
Vinícius Almeida Almeida,vinícius.almeida49@email.com,(61) 92703-8887,viníciusalm662,8,D2-tarde
Ingrid Costa Araújo,ingrid.costa934@email.com,(31) 99560-3224,ingridcos987,12,D1-tarde
Camila Nunes Gomes,camila.nunes68@email.com,(61) 91096-2048,camilanun538,11,D1-manha
Caio Barbosa Ferreira,caio.barbosa902@email.com,(51) 93128-9998,caiobar791,8,D1-manha
Oscar Costa Pereira,oscar.costa242@email.com,(11) 91078-9623,oscarcos748,6,D1-tarde
Clara Nascimento Castro,clara.nascimento625@email.com,(31) 92582-4242,claranas849,12,D1-tarde
Tatiana Barbosa Nunes,tatiana.barbosa32@email.com,(51) 95390-8373,tatianabar258,10,D1-manha
Giovana Silva Souza,giovana.silva531@email.com,(51) 99945-6970,giovanasil559,12,D1-tarde
João Moreira Moreira,joão.moreira261@email.com,(81) 98082-1709,joãomor370,1,D1-tarde
Ana Borges Rodrigues,ana.borges445@email.com,(21) 95644-4711,anabor899,4,D1-tarde
Amanda Oliveira Castro,amanda.oliveira849@email.com,(31) 98605-7047,amandaoli642,10,D2-tarde
Gabriela Campos Silva,gabriela.campos727@email.com,(41) 99502-6357,gabrielacam466,11,D1-manha
Larissa Monteiro Vieira,larissa.monteiro272@email.com,(71) 95746-1010,larissamon757,11,D2-tarde
Fernanda Pereira Souza,fernanda.pereira186@email.com,(11) 91901-6904,fernandaper497,7,D2-tarde
Letícia Fonseca Pereira,letícia.fonseca523@email.com,(21) 99994-5159,letíciafon152,4,D2-tarde
Enzo Machado Ramos,enzo.machado153@email.com,(41) 97886-5313,enzomac55,2,D2-tarde
Daniel Ribeiro Pinto,daniel.ribeiro195@email.com,(81) 92806-4327,danielrib829,1,D1-manha
Vitória Borges Pereira,vitória.borges902@email.com,(31) 91864-9412,vitóriabor302,7,D2-tarde
Karla Nunes Rodrigues,karla.nunes254@email.com,(51) 93435-4501,karlanun701,10,D1-manha
Vanessa Araújo Nunes,vanessa.araújo311@email.com,(41) 96969-8669,vanessaara5,3,D2-tarde
Juliana Santos Ribeiro,juliana.santos344@email.com,(11) 93007-5464,julianasan861,5,D2-tarde
Bianca Gomes Barbosa,bianca.gomes79@email.com,(51) 94135-5203,biancagom670,10,D1-tarde
Arthur Silva Cunha,arthur.silva922@email.com,(71) 94511-9676,arthursil573,1,D1-tarde
Rafael Campos Fonseca,rafael.campos120@email.com,(51) 96949-5426,rafaelcam596,4,D2-tarde
Gabriel Nascimento Azevedo,gabriel.nascimento642@email.com,(11) 97986-6096,gabrielnas70,12,D2-tarde
Matheus Vieira Martins,matheus.vieira202@email.com,(71) 94566-9273,matheusvie777,4,D1-tarde
Débora Martins Araújo,débora.martins147@email.com,(71) 99718-7389,déboramar292,3,D1-manha
Tatiana Pereira Rodrigues,tatiana.pereira93@email.com,(71) 93502-3139,tatianaper675,8,D2-tarde
Karla Machado Ribeiro,karla.machado25@email.com,(51) 91343-7254,karlamac913,1,D1-tarde
Gustavo Santos Gomes,gustavo.santos904@email.com,(11) 98693-2182,gustavosan107,9,D1-manha
Rafael Silva Monteiro,rafael.silva179@email.com,(71) 91916-7846,rafaelsil950,7,D2-tarde
Larissa Rodrigues Castro,larissa.rodrigues566@email.com,(41) 98168-1443,larissarod825,8,D2-tarde
Matheus Souza Lopes,matheus.souza486@email.com,(61) 99905-2085,matheussou406,11,D1-manha
Sabrina Mendes Teixeira,sabrina.mendes834@email.com,(61) 96415-5625,sabrinamen728,11,D1-manha
Diego Cunha Castro,diego.cunha619@email.com,(51) 98035-7093,diegocun27,9,D2-tarde
Bernardo Costa Correia,bernardo.costa357@email.com,(11) 99158-3067,bernardocos138,1,D1-tarde
Helena Monteiro Moreira,helena.monteiro296@email.com,(31) 92793-2558,helenamon327,11,D2-tarde
Sérgio Rodrigues Lopes,sérgio.rodrigues191@email.com,(11) 98104-4760,sérgiorod525,8,D1-manha
Yuri Pires Campos,yuri.pires751@email.com,(31) 97755-4454,yuripir494,3,D2-tarde
Gustavo Lima Lima,gustavo.lima506@email.com,(41) 96574-2137,gustavolim243,2,D2-tarde
Heloísa Vieira Martins,heloísa.vieira177@email.com,(71) 99952-7955,heloísavie433,8,D1-manha
Eduardo Rodrigues Mendes,eduardo.rodrigues591@email.com,(61) 96358-1392,eduardorod631,5,D1-manha
Thiago Ferreira Souza,thiago.ferreira261@email.com,(61) 99815-4148,thiagofer780,9,D1-tarde
Tomás Gomes Pereira,tomás.gomes22@email.com,(21) 99912-6048,tomásgom598,10,D2-tarde
Tatiana Freitas Ramos,tatiana.freitas773@email.com,(31) 93694-3301,tatianafre60,7,D1-tarde
João Pereira Costa,joão.pereira934@email.com,(51) 96720-2769,joãoper486,11,D1-tarde
Yuri Duarte Pereira,yuri.duarte458@email.com,(61) 96813-8500,yuridua497,9,D2-tarde
Úrsula Nascimento Nascimento,úrsula.nascimento239@email.com,(71) 91018-2533,úrsulanas628,8,D1-manha
Kelly Castro Rocha,kelly.castro55@email.com,(11) 93221-7666,kellycas10,11,D1-manha
Érica Freitas Campos,érica.freitas699@email.com,(51) 93489-9481,éricafre174,11,D1-manha
Karla Carvalho Moreira,karla.carvalho627@email.com,(71) 95599-8435,karlacar347,5,D1-tarde
Úrsula Monteiro Araújo,úrsula.monteiro900@email.com,(61) 91148-6695,úrsulamon121,6,D1-tarde
Carlos Ferreira Carvalho,carlos.ferreira631@email.com,(51) 98410-4894,carlosfer871,6,D2-tarde
Leonardo Lima Almeida,leonardo.lima907@email.com,(61) 93863-7724,leonardolim194,9,D1-tarde
